match_id,home_team,away_team,match_time,failure_reason,candidate_matches
2688,Gil Vicente,Vitoria de Guimaraes,2020-11-02 01:30:00+08:00,No match found in any level,Gil Vicente vs Vitoria de Guimaraes (Historical League); Gil Vicente vs Vitoria de Guimaraes (Historical League); Gil Vicente vs Vitoria de Guimaraes (Historical League)
2690,Sporting CP,Tondela,2020-11-02 04:00:00+08:00,No match found in any level,Sporting CP vs Tondela (Historical League); Sporting CP vs Tondela (Historical League); Sporting CP vs Vizela (Historical League)
2694,Braga,Famalicao,2020-11-03 02:45:00+08:00,No match found in any level,Braga vs Famalicao (Historical League); Braga vs Famalicao (Historical League); Braga vs Famalicao (Historical League)
2696,Leeds United,Leicester City,2020-11-03 04:00:00+08:00,No match found in any level,Leeds United vs Leicester City (Historical League); Leeds United vs Leicester City (Historical League); Leeds United vs Leicester City (Historical League)
2698,Boavista,Benfica,2020-11-03 05:00:00+08:00,No match found in any level,Boavista vs Benfica (Historical League); Boavista vs Benfica (Historical League); Boavista vs Benfica (Historical League)
2702,Salzburg,Bayern München,2020-11-04 04:00:00+08:00,No match found in any level,Salzburg vs Bayern München (Historical League); Salzburg vs Bayern München (Historical League); Wolfsburg vs Bayern München (Historical League)
2705,FC Midtjylland,Ajax,2020-11-04 04:00:00+08:00,No match found in any level,FC Midtjylland vs Ajax (Historical League); FC Midtjylland vs Atalanta (Historical League); Beşiktaş vs Ajax (Historical League)
2718,Southampton,Newcastle United,2020-11-07 04:00:00+08:00,No match found in any level,Southampton vs Newcastle United (Historical League); Southampton vs Newcastle United (Historical League); Southampton vs Newcastle United (Historical League)
2720,Cova da Piedade SAD,Rio Ave,2020-11-07 04:30:00+08:00,No match found in any level,Cova da Piedade SAD vs Rio Ave (Historical League); AVS Futebol SAD vs Rio Ave (Historical League); Casa Pia AC vs Rio Ave (Historical League)
2722,SD Huesca,Eibar,2020-11-07 21:00:00+08:00,No match found in any level,SD Huesca vs Eibar (Historical League); SD Huesca vs Villarreal (Historical League); SD Huesca vs Sevilla (Historical League)
2726,Mainz 05,Schalke 04,2020-11-07 22:30:00+08:00,No match found in any level,Mainz 05 vs Schalke 04 (Historical League); Mainz 05 vs Schalke 04 (Historical League); Mainz 05 vs FC Heidenheim (Historical League)
2729,Tondela,Santa Clara,2020-11-07 23:00:00+08:00,No match found in any level,Tondela vs Santa Clara (Historical League); Tondela vs Santa Clara (Historical League); Vizela vs Santa Clara (Historical League)
2735,Famalicao,Maritimo,2020-11-08 02:00:00+08:00,No match found in any level,Famalicao vs Maritimo (Historical League); Famalicao vs Maritimo (Historical League); Famalicao vs Maritimo (Historical League)
2739,Vitoria de Guimaraes,Sporting CP,2020-11-08 04:30:00+08:00,No match found in any level,Vitoria de Guimaraes vs Sporting CP (Historical League); Vitoria de Guimaraes vs Sporting CP (Historical League); Vitoria de Guimaraes vs Sporting CP (Historical League)
2744,Nimes,Angers,2020-11-08 22:00:00+08:00,No match found in any level,Nimes vs Angers (Historical League); Nice vs Angers (Historical League); Nice vs Angers (Historical League)
2749,Nacional,Gil Vicente,2020-11-08 23:00:00+08:00,No match found in any level,Nacional vs Gil Vicente (Historical League); Nacional vs Gil Vicente (Historical League); Nacional vs Moreirense (Historical League)
2750,Farense,Boavista,2020-11-08 23:00:00+08:00,No match found in any level,Farense vs Boavista (Historical League); Farense vs Boavista (Historical League); Farense vs Boavista (Historical League)
2755,Levante,Deportivo Alaves,2020-11-09 01:30:00+08:00,No match found in any level,Levante vs Deportivo Alaves (Historical League); Levante vs Deportivo Alaves (Historical League); Leganes vs Deportivo Alaves (Historical League)
2756,FC Porto,Portimonense,2020-11-09 01:30:00+08:00,No match found in any level,FC Porto vs Portimonense (Historical League); FC Porto vs Portimonense (Historical League); FC Porto vs Portimonense (Historical League)
2761,Benfica,Braga,2020-11-09 04:00:00+08:00,No match found in any level,Benfica vs Braga (Historical League); Benfica vs Braga (Historical League); Benfica vs Braga (Historical League)
2793,Granada,Real Valladolid,2020-11-23 01:30:00+08:00,No match found in any level,Granada vs Real Valladolid (Historical League); Granada vs Real Madrid (Historical League); Granada vs Real Madrid (Historical League)
2811,Bayern München,Salzburg,2020-11-26 04:00:00+08:00,No match found in any level,Bayern München vs Salzburg (Historical League); Bayern München vs Salzburg (Historical League); Bayern München vs Wolfsburg (Historical League)
2816,Ajax,FC Midtjylland,2020-11-26 04:00:00+08:00,No match found in any level,Ajax vs FC Midtjylland (Historical League); Atalanta vs FC Midtjylland (Historical League); Ajax vs Beşiktaş (Historical League)
2817,Pacos de Ferreira,Famalicao,2020-11-28 03:00:00+08:00,No match found in any level,Pacos de Ferreira vs Famalicao (Historical League); Pacos de Ferreira vs Famalicao (Historical League); Pacos de Ferreira vs Famalicao (Historical League)
2820,Real Valladolid,Levante,2020-11-28 04:00:00+08:00,No match found in any level,Real Valladolid vs Levante (Historical League); Real Madrid vs Levante (Historical League); Real Madrid vs Levante (Historical League)
2822,Tondela,Vitoria de Guimaraes,2020-11-28 05:00:00+08:00,No match found in any level,Tondela vs Vitoria de Guimaraes (Historical League); Tondela vs Vitoria de Guimaraes (Historical League); Vizela vs Vitoria de Guimaraes (Historical League)
