match,bet_on,odds,model_prob,raw_prob,fair_prob,edge,bet_amount,result,p&l,capital_after
Liverpool vs Aston Villa,away_win,6.5,0.3556103337623655,0.17637567147678448,0.14876923076923076,0.20684110299313474,22.113547932088206,LOSS,-22.113547932088206,1083.563848672322
Liverpool vs Aston Villa,away_win,6.5,0.35555845215207643,0.1772084248495412,0.14876923076923076,0.20678922138284567,21.67127697344644,LOSS,-21.67127697344644,1061.8925716988754
West Ham United vs Burnley,away_win,4.75,0.3422460869501506,0.2711145886834141,0.20357894736842103,0.13866713958172955,21.237851433977507,LOSS,-21.237851433977507,1040.6547202648978
West Ham United vs Burnley,away_win,4.75,0.3400683180382056,0.2909829155376238,0.20357894736842103,0.13648937066978456,20.813094405297957,LOSS,-20.813094405297957,1019.8416258595998
Chelsea vs Wolverhampton Wanderers,away_win,6.5,0.35771565868854655,0.16007710786704982,0.14876923076923076,0.20894642791931578,20.396832517191996,LOSS,-20.396832517191996,999.4447933424078
Chelsea vs Wolverhampton Wanderers,away_win,6.5,0.35718288193755815,0.1723383573347289,0.14876923076923076,0.20841365116832739,19.988895866848157,LOSS,-19.988895866848157,979.4558974755597
Aston Villa vs AFC Bournemouth,away_win,3.8,0.3547600597670637,0.18092108747284447,0.2544736842105263,0.10028637555653741,19.589117949511195,LOSS,-19.589117949511195,959.8667795260485
Aston Villa vs AFC Bournemouth,away_win,3.8,0.3544514654472656,0.1853418760815918,0.2544736842105263,0.09997778123673928,19.19733559052097,LOSS,-19.19733559052097,940.6694439355275
Burnley vs Chelsea,home_win,4.5,0.3438409847958132,0.25703791875861676,0.21488888888888888,0.12895209590692433,18.81338887871055,LOSS,-18.81338887871055,921.856055056817
Burnley vs Chelsea,home_win,4.5,0.3425604266432773,0.2677277706666191,0.21488888888888888,0.12767153775438841,18.43712110113634,LOSS,-18.43712110113634,903.4189339556807
Wolverhampton Wanderers vs Crystal Palace,draw,3.4,0.33864353430192135,0.2983362662739599,0.28441176470588236,0.05423176959603898,14.246541728584056,WIN,34.19170014860173,937.6106341042824
Liverpool vs Nottingham Forest,away_win,12.0,0.3128027129978755,0.4752125820336419,0.08058333333333333,0.23221937966454215,18.75221268208565,WIN,206.27433950294213,1143.8849736072245
AFC Bournemouth vs West Ham United,away_win,4.75,0.33006464085729204,0.3583772480276096,0.20357894736842103,0.126485693488871,22.877699472144492,LOSS,-22.877699472144492,1121.00727413508
AFC Bournemouth vs West Ham United,away_win,4.75,0.328920261422677,0.3672366181127395,0.20357894736842103,0.12534131405425597,22.4201454827016,LOSS,-22.4201454827016,1098.5871286523784
Liverpool vs Nottingham Forest,away_win,12.0,0.30915741475659014,0.4999735400354141,0.08058333333333333,0.2285740814232568,21.971742573047568,WIN,241.68916830352325,1340.2762969559017
Wolverhampton Wanderers vs Crystal Palace,draw,3.4,0.34437126879589186,0.2563316153483085,0.28441176470588236,0.0599595040900095,23.854448892843113,WIN,57.25067734282347,1397.5269742987252
Brentford vs Burnley,away_win,4.2,0.35166471649122677,0.2072877829325801,0.23023809523809521,0.12142662125313156,27.950539485974506,LOSS,-27.950539485974506,1369.5764348127507
Brentford vs Burnley,away_win,4.2,0.3511117024733002,0.21518719019179347,0.23023809523809521,0.12087360723520499,27.391528696255016,LOSS,-27.391528696255016,1342.1849061164958
Aston Villa vs Wolverhampton Wanderers,away_win,5.25,0.34362102521525384,0.26772108622177077,0.18419047619047618,0.15943054902477766,26.843698122329915,LOSS,-26.843698122329915,1315.3412079941659
Aston Villa vs Wolverhampton Wanderers,away_win,5.25,0.3437712817883188,0.26610731358080025,0.18419047619047618,0.1595808055978426,26.30682415988332,LOSS,-26.30682415988332,1289.0343838342826
West Ham United vs Liverpool,home_win,7.0,0.33959254172687797,0.2994513627065379,0.13814285714285712,0.20144968458402085,25.780687676685652,LOSS,-25.780687676685652,1263.253696157597
West Ham United vs Liverpool,home_win,7.0,0.34466369120945234,0.25161863249117616,0.13814285714285712,0.20652083406659522,25.26507392315194,LOSS,-25.26507392315194,1237.988622234445
Chelsea vs Arsenal,draw,3.4,0.3478477367525017,0.22656899169970013,0.28441176470588236,0.06343597204661933,23.558189064811792,WIN,56.5396537555483,1294.5282759899933
Chelsea vs Arsenal,draw,3.4,0.3456670514813648,0.2430964714465433,0.28441176470588236,0.06125528677548242,23.634307245879075,WIN,56.72233739010978,1351.250613380103
AFC Bournemouth vs Everton,away_win,4.75,0.32412002154565883,0.39835281539969997,0.20357894736842103,0.1205410741772378,27.02501226760206,LOSS,-27.02501226760206,1324.225601112501
