match_time,home_team,away_team,result_score,predicted_result,b365_home_odds,b365_draw_odds,b365_away_odds,market_prob_h,market_prob_d,market_prob_a,model_prob_h,model_prob_d,model_prob_a,error_h,error_d,error_a,yield_per_match
2024-02-04 16:30:00,Arsenal,Liverpool,H,H,2.5,3.25,2.9,0.36103830645161294,0.2777217741935484,0.31123991935483875,0.38696238452713994,0.28599029927345176,0.3270473161994083,0.02592407807552699,0.008268525079903388,0.015807396844569555,1.5
2024-02-10 15:00:00,Fulham,AFC Bournemouth,H,H,1.85,3.75,4.0,0.48572645930975705,0.2396250532594802,0.22464848743076268,0.5188287356516725,0.245918038623917,0.2352532257244104,0.03310227634191548,0.006292985364436815,0.01060473829364772,0.8500000000000001
2024-02-10 15:00:00,Fulham,AFC Bournemouth,H,H,2.38,3.5,2.8,0.37549407114624506,0.2553359683794466,0.3191699604743083,0.4021447721179625,0.2627345844504021,0.3351206434316354,0.026650700971717456,0.007398616070955488,0.0159506829573271,1.38
2024-02-10 15:00:00,Fulham,AFC Bournemouth,H,H,2.3,3.6,2.88,0.38974358974358975,0.24900284900284897,0.3112535612535612,0.417225315305079,0.25610726053857513,0.3266674241563458,0.027481725561489256,0.007104411535726163,0.015413862902784625,1.2999999999999998
2024-02-10 15:00:00,Liverpool,Burnley,H,H,1.17,8.0,17.0,0.7818456883509833,0.1143449319213313,0.05380937972768532,0.8278222760099826,0.11632120363640269,0.05585652035361474,0.04597658765899926,0.0019762717150713927,0.0020471406259294223,0.16999999999999993
2024-02-10 15:00:00,Wolverhampton Wanderers,Brentford,A,H,2.45,3.1,3.0,0.3644050319653537,0.2879975252629408,0.2975974427717055,0.3906275737110855,0.2966150551803656,0.31275737110854884,0.026222541745731798,0.008617529917424815,0.01515992833684332,-1.0
2024-02-10 15:00:00,Wolverhampton Wanderers,Brentford,A,H,2.1,3.6,3.4,0.4316258351893095,0.2517817371937639,0.2665924276169265,0.46168182826714,0.25875305080985134,0.27956512092300867,0.030055993077830467,0.006971313616087438,0.012972693306082195,-1.0
2024-02-10 15:00:00,Wolverhampton Wanderers,Brentford,A,A,2.7,3.7,2.45,0.3354791585508375,0.24480911569925978,0.3697117257499025,0.3595124227225009,0.25205878922197594,0.3884287880555231,0.024033264171663404,0.00724967352271616,0.01871706230562059,1.4500000000000002
2024-02-11 14:00:00,West Ham United,Arsenal,A,A,6.0,4.2,1.55,0.1508046817849305,0.21543525969275784,0.5837600585223116,0.1621372166957235,0.22254127781765973,0.6153215054866168,0.011332534910793002,0.007106018124901886,0.031561446964305184,0.55
2024-02-11 14:00:00,West Ham United,Arsenal,A,A,6.0,4.33,1.53,0.15062031978059057,0.20871175951121096,0.5906679207081984,0.1619166796178004,0.21556628994082924,0.6225170304413704,0.011296359837209835,0.006854530429618283,0.03184910973317201,0.53
2024-02-11 14:00:00,West Ham United,Arsenal,A,A,7.0,4.5,1.45,0.12867151011935649,0.20015568240788786,0.6211728074727555,0.1383607920586248,0.2067875890026506,0.6548516189387247,0.009689281939268324,0.006631906594762732,0.03367881146596918,0.44999999999999996
2024-02-12 20:00:00,Crystal Palace,Chelsea,A,A,4.2,3.6,1.85,0.21411167512690357,0.24979695431472088,0.48609137055837565,0.23006116270091237,0.2578790157072319,0.5120598215918558,0.015949487574008797,0.008082061392510997,0.025968451033480167,0.8500000000000001
2024-02-12 20:00:00,Crystal Palace,Chelsea,A,A,4.2,3.8,1.85,0.21711638491547466,0.23997074122236675,0.49291287386215865,0.2332266500136607,0.24766792865227746,0.5191054213340619,0.016110265098186027,0.007697187429910712,0.02619254747190325,0.8500000000000001
2024-02-12 20:00:00,Crystal Palace,Chelsea,A,A,3.8,3.75,1.91,0.2373301825918627,0.24049458502642088,0.47217523238171644,0.2548346465591785,0.248105679421276,0.4970596740195454,0.01750446396731578,0.0076110943948551335,0.02488444163782899,0.9099999999999999
2024-02-17 12:30:00,Brentford,Liverpool,A,A,5.5,4.33,1.55,0.16326965673533667,0.20738640001024286,0.5793439432544204,0.17546301790352126,0.2141343265181315,0.6104026555783473,0.012193361168184591,0.006747926507888635,0.031058712323926874,0.55
2024-02-17 12:30:00,Brentford,Liverpool,A,A,5.5,4.33,1.57,0.16454796537921582,0.2090101176872256,0.5764419169335585,0.1768380807583272,0.21581244742276484,0.607349471818908,0.012290115379111372,0.0068023297355392365,0.030907554885349464,0.5700000000000001
