match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
4221799,54,Bundesliga,2324,Eintracht Frankfurt,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221798,54,Bundesliga,2324,Bayer Leverkusen,Freiburg,,2025-12-24T10:12:54.761730
4221832,54,Bundesliga,2324,Darmstadt,Bochum,,2025-12-24T10:12:54.761730
4221829,54,Bundesliga,2324,1. FC Köln,Augsburg,,2025-12-24T10:12:54.761730
4221826,54,Bundesliga,2324,Freiburg,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221830,54,Bundesliga,2324,Hoffenheim,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221828,54,Bundesliga,2324,Mainz 05,RB Leipzig,,2025-12-24T10:12:54.761730
4221825,54,Bundesliga,2324,Union Berlin,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221824,54,Bundesliga,2324,Borussia Dortmund,Bayern München,,2025-12-24T10:12:54.761730
4221827,54,Bundesliga,2324,Wolfsburg,Werder Bremen,,2025-12-24T10:12:54.761730
4221831,54,Bundesliga,2324,FC Heidenheim,VfB Stuttgart,,2025-12-24T10:12:54.761730
4221953,54,Bundesliga,2324,Borussia Mönchengladbach,Wolfsburg,,2025-12-24T10:12:54.761730
4221956,54,Bundesliga,2324,Augsburg,Hoffenheim,,2025-12-24T10:12:54.761730
4221950,54,Bundesliga,2324,Bayern München,FC Heidenheim,,2025-12-24T10:12:54.761730
4221958,54,Bundesliga,2324,Darmstadt,Mainz 05,,2025-12-24T10:12:54.761730
4221957,54,Bundesliga,2324,VfB Stuttgart,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221955,54,Bundesliga,2324,Bochum,1. FC Köln,,2025-12-24T10:12:54.761730
4221952,54,Bundesliga,2324,Bayer Leverkusen,Union Berlin,,2025-12-24T10:12:54.761730
4221954,54,Bundesliga,2324,Werder Bremen,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221951,54,Bundesliga,2324,RB Leipzig,Freiburg,,2025-12-24T10:12:54.761730
4221964,54,Bundesliga,2324,1. FC Köln,Bayern München,,2025-12-24T10:12:54.761730
4221959,54,Bundesliga,2324,Borussia Dortmund,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221961,54,Bundesliga,2324,Freiburg,Darmstadt,,2025-12-24T10:12:54.761730
4221960,54,Bundesliga,2324,Union Berlin,Augsburg,,2025-12-24T10:12:54.761730
4221966,54,Bundesliga,2324,Werder Bremen,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221963,54,Bundesliga,2324,Wolfsburg,RB Leipzig,,2025-12-24T10:12:54.761730
4221962,54,Bundesliga,2324,Eintracht Frankfurt,VfB Stuttgart,,2025-12-24T10:12:54.761730
4221967,54,Bundesliga,2324,FC Heidenheim,Bochum,,2025-12-24T10:12:54.761730
4221965,54,Bundesliga,2324,Hoffenheim,Mainz 05,,2025-12-24T10:12:54.761730
4221976,54,Bundesliga,2324,Darmstadt,1. FC Köln,,2025-12-24T10:12:54.761730
4221973,54,Bundesliga,2324,Bochum,Wolfsburg,,2025-12-24T10:12:54.761730
4221972,54,Bundesliga,2324,Borussia Mönchengladbach,Hoffenheim,,2025-12-24T10:12:54.761730
4221969,54,Bundesliga,2324,RB Leipzig,FC Heidenheim,,2025-12-24T10:12:54.761730
4221975,54,Bundesliga,2324,VfB Stuttgart,Werder Bremen,,2025-12-24T10:12:54.761730
4221971,54,Bundesliga,2324,Mainz 05,Freiburg,,2025-12-24T10:12:54.761730
4221970,54,Bundesliga,2324,Bayer Leverkusen,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221974,54,Bundesliga,2324,Augsburg,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221982,54,Bundesliga,2324,Hoffenheim,Bochum,,2025-12-24T10:12:54.761730
4221979,54,Bundesliga,2324,Eintracht Frankfurt,Bayern München,,2025-12-24T10:12:54.761730
4221985,54,Bundesliga,2324,FC Heidenheim,Darmstadt,,2025-12-24T10:12:54.761730
4221978,54,Bundesliga,2324,Union Berlin,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221983,54,Bundesliga,2324,Werder Bremen,Augsburg,,2025-12-24T10:12:54.761730
4221980,54,Bundesliga,2324,Wolfsburg,Freiburg,,2025-12-24T10:12:54.761730
4221977,54,Bundesliga,2324,Borussia Dortmund,RB Leipzig,,2025-12-24T10:12:54.761730
4221984,54,Bundesliga,2324,VfB Stuttgart,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221981,54,Bundesliga,2324,1. FC Köln,Mainz 05,,2025-12-24T10:12:54.761730
4221991,54,Bundesliga,2324,Borussia Mönchengladbach,Werder Bremen,,2025-12-24T10:12:54.761730
4221993,54,Bundesliga,2324,Augsburg,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221992,54,Bundesliga,2324,Bochum,Union Berlin,,2025-12-24T10:12:54.761730
4221994,54,Bundesliga,2324,Darmstadt,Wolfsburg,,2025-12-24T10:12:54.761730
4221990,54,Bundesliga,2324,Mainz 05,FC Heidenheim,,2025-12-24T10:12:54.761730
4221987,54,Bundesliga,2324,RB Leipzig,Hoffenheim,,2025-12-24T10:12:54.761730
