         3790170 function calls (3683532 primitive calls) in 2.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.030    0.002 decl_base.py:298(setup_mapping)
22182/21416    0.020    0.000    0.030    0.000 {built-in method __new__ of type object at 0x77304ae73a40}
       14    0.000    0.000    0.030    0.002 decl_base.py:505(__init__)
     1424    0.003    0.000    0.030    0.000 typing.py:2009(__instancecheck__)
     2280    0.002    0.000    0.029    0.000 _itertools.py:4(unique_everseen)
     2060    0.005    0.000    0.029    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     2556    0.004    0.000    0.029    0.000 __init__.py:1007(_normalized_name)
      433    0.002    0.000    0.029    0.000 routing.py:122(compile_path)
        2    0.000    0.000    0.028    0.014 dml.py:1(<module>)
        1    0.000    0.000    0.028    0.028 crud.py:1(<module>)
        1    0.001    0.001    0.028    0.028 compute.py:307(_make_global_functions)
        3    0.000    0.000    0.028    0.009 fields.py:1(<module>)
      261    0.001    0.000    0.028    0.000 compute.py:291(_wrap_function)
        1    0.000    0.000    0.026    0.026 artifact_dataset_sources.py:1(<module>)
9730/6997    0.005    0.000    0.026    0.000 _generate_schema.py:2617(_extract_get_pydantic_json_schema)
        1    0.000    0.000    0.026    0.026 artifact_repository_registry.py:1(<module>)
     2850    0.002    0.000    0.026    0.000 pathlib.py:1053(read_text)
        3    0.000    0.000    0.026    0.009 exc.py:1(<module>)
        1    0.000    0.000    0.026    0.026 signature.py:1(<module>)
      361    0.002    0.000    0.026    0.000 schema.py:1501(__init__)
     1246    0.022    0.000    0.025    0.000 _compiler.py:243(_optimize_charset)
     1867    0.003    0.000    0.025    0.000 textwrap.py:419(dedent)
        2    0.000    0.000    0.025    0.012 facades.py:1(<module>)
    29298    0.012    0.000    0.024    0.000 typing.py:1320(__setattr__)
        2    0.000    0.000    0.024    0.012 sources.py:1(<module>)
        4    0.000    0.000    0.024    0.006 compat.py:1(<module>)
  155/143    0.000    0.000    0.024    0.000 _generate_schema.py:383(_list_schema)
        4    0.000    0.000    0.023    0.006 _collections.py:1(<module>)
     4059    0.006    0.000    0.023    0.000 typing_extensions.py:3228(_collect_parameters)
     7562    0.005    0.000    0.022    0.000 _generate_schema.py:889(_generate_schema_from_get_schema_method)
    41816    0.014    0.000    0.022    0.000 typing.py:2443(get_origin)
      202    0.001    0.000    0.022    0.000 dataclasses.py:528(_init_fn)
        1    0.000    0.000    0.022    0.022 asyncpg.py:1(<module>)
      102    0.000    0.000    0.022    0.000 api.py:41(listen)
        2    0.000    0.000    0.022    0.011 dataclasses.py:1(<module>)
     3826    0.008    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      362    0.000    0.000    0.021    0.000 schema.py:2210(_set_type)
     8332    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.021    0.011 assessment.py:1(<module>)
     1199    0.001    0.000    0.021    0.000 typing.py:2147(__init__)
    44359    0.012    0.000    0.020    0.000 typing.py:1266(_is_dunder)
       65    0.000    0.000    0.020    0.000 _orm_constructors.py:97(mapped_column)
        1    0.000    0.000    0.020    0.020 pyarrow.py:1(<module>)
       65    0.000    0.000    0.020    0.000 schema.py:2436(_on_table_attach)
     2850    0.001    0.000    0.020    0.000 pathlib.py:1036(open)
       57    0.000    0.000    0.020    0.000 sqltypes.py:1020(_set_parent)
        1    0.000    0.000    0.020    0.020 span_event.py:1(<module>)
       65    0.000    0.000    0.020    0.000 properties.py:554(__init__)
        3    0.000    0.000    0.020    0.007 main.py:224(_model_rebuild)
     1037    0.001    0.000    0.020    0.000 _loader.py:22(get_plugins)
     8485    0.020    0.000    0.020    0.000 {built-in method posix.stat}
     1920    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.020    0.007 v2.py:160(_model_rebuild)
        3    0.000    0.000    0.020    0.007 main.py:617(model_rebuild)
       11    0.000    0.000    0.020    0.002 version.py:1(<module>)
        1    0.000    0.000    0.020    0.020 config_di.py:1(<module>)
        2    0.000    0.000    0.019    0.010 __config__.py:1(<module>)
6408/6407    0.002    0.000    0.019    0.000 {built-in method builtins.next}
     1673    0.008    0.000    0.019    0.000 fields.py:228(__init__)
      102    0.000    0.000    0.019    0.000 api.py:28(_event_key)
     2883    0.013    0.000    0.019    0.000 {built-in method io.open}
     1641    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.019    0.019 features.py:81(FeatureMetadata)
       84    0.018    0.000    0.019    0.000 base.py:375(_accept_with)
      261    0.001    0.000    0.019    0.000 compute.py:121(_decorate_compute_function)
      425    0.000    0.000    0.018    0.000 utils.py:989(get_body_field)
        2    0.000    0.000    0.018    0.009 observers.py:1(<module>)
        1    0.000    0.000    0.018    0.018 router.py:1(<module>)
       17    0.000    0.000    0.018    0.001 exceptions.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _has_cy.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _has_cy.py:13(_import_cy_extensions)
        1    0.000    0.000    0.018    0.018 shared.py:1(<module>)
      189    0.002    0.000    0.018    0.000 langhelpers.py:249(decorate)
        3    0.000    0.000    0.018    0.006 datastructures.py:1(<module>)
     2873    0.013    0.000    0.018    0.000 typing.py:1930(_get_protocol_attrs)
      608    0.001    0.000    0.018    0.000 utils.py:241(get_typed_signature)
    15391    0.009    0.000    0.017    0.000 typing.py:1310(__getattr__)
    15905    0.007    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5382    0.003    0.000    0.017    0.000 __init__.py:116(<genexpr>)
        3    0.000    0.000    0.017    0.006 http.py:1(<module>)
        1    0.000    0.000    0.017    0.017 root_model.py:1(<module>)
     7806    0.003    0.000    0.017    0.000 typing.py:159(_type_convert)
     1005    0.006    0.000    0.017    0.000 inspect.py:2331(_signature_from_function)
        5    0.000    0.000    0.017    0.003 schema.py:1(<module>)
     3959    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.016    0.016 artifact_repository_registry.py:44(register_entrypoints)
      873    0.001    0.000    0.016    0.000 <frozen abc>:105(__new__)
    12953    0.002    0.000    0.016    0.000 shared.py:66(lenient_issubclass)
      179    0.002    0.000    0.016    0.000 enum.py:499(__new__)
29904/20984    0.006    0.000    0.016    0.000 {built-in method builtins.issubclass}
     3674    0.003    0.000    0.016    0.000 typing.py:1279(__init__)
     1037    0.000    0.000    0.016    0.000 _generate_schema.py:688(clean_schema)
        1    0.000    0.000    0.016    0.016 validate_email.py:1(<module>)
        1    0.000    0.000    0.015    0.015 cqrs.py:1(<module>)
        5    0.000    0.000    0.015    0.003 connection.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _base_connection.py:1(<module>)
     1037    0.001    0.000    0.015    0.000 _generate_schema.py:2755(finalize_schema)
     2046    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      892    0.001    0.000    0.015    0.000 typing.py:2159(__repr__)
     1914    0.015    0.000    0.015    0.000 {built-in method io.open_code}
     1449    0.002    0.000    0.015    0.000 typing.py:1947(_is_callable_members_only)
        1    0.000    0.000    0.015    0.015 syntax.py:1(<module>)
      643    0.001    0.000    0.015    0.000 fields.py:378(from_annotated_attribute)
        3    0.000    0.000    0.015    0.005 rest_store.py:1(<module>)
       14    0.000    0.000    0.015    0.001 decl_base.py:365(_early_mapping)
       14    0.000    0.000    0.015    0.001 decl_base.py:1978(map)
        2    0.000    0.000    0.015    0.007 adapters.py:1(<module>)
     1241    0.003    0.000    0.014    0.000 copy.py:66(copy)
        1    0.000    0.000    0.014    0.014 stores.py:1(<module>)
       14    0.000    0.000    0.014    0.001 mapper.py:191(__init__)
      629    0.002    0.000    0.014    0.000 _compiler.py:511(_compile_info)
       98    0.000    0.000    0.014    0.000 compute.py:114(_scrape_options_class_doc)
    58213    0.009    0.000    0.014    0.000 typing.py:1687(__eq__)
       98    0.000    0.000    0.014    0.000 docscrape.py:146(__init__)
        1    0.000    0.000    0.014    0.014 __init__.py:31(_load_runtime_context)
     7097    0.014    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.014    0.007 loader.py:1(<module>)
     5205    0.002    0.000    0.014    0.000 __init__.py:178(sub)
        1    0.000    0.000    0.014    0.014 _importlib_metadata.py:39(entry_points)
     1572    0.001    0.000    0.014    0.000 typing.py:866(__init__)
        1    0.000    0.000    0.013    0.013 dataset_registry.py:47(register_entrypoints)
