home_team,away_team,home_score,away_score,target,final_score,match_status,league,home_xg,away_xg,home_possession,away_possession,home_opening_odds,home_current_odds,external_id
Werder Bremen,Bayer Leverkusen,3,3,1,3 - 3,Finished,Bundesliga,2.59,2.1,45,55,6.0,6.0,4829242
Augsburg,Bayern München,2,3,0,2 - 3,Finished,Bundesliga,0.51,4.24,42,58,9.0,9.0,4829245
Casa Pia AC,Nacional,0,2,0,0 - 2,Finished,Ligue 1,0.66,1.27,62,38,28.0,28.0,4844189
RB Leipzig,FC Heidenheim,2,0,2,2 - 0,Finished,Bundesliga,2.23,1.02,66,34,6.0,6.0,4829241
Wolverhampton Wanderers,Everton,2,3,0,2 - 3,Finished,Premier League,1.11,1.93,58,42,6.0,6.0,4813404
Borussia Mönchengladbach,Hamburger SV,0,0,1,0 - 0,Finished,Bundesliga,1.1,0.41,61,39,7.0,7.0,4829225
Gil Vicente,Moreirense,2,0,2,2 - 0,Finished,Ligue 1,0.86,0.73,46,54,7.0,7.0,4844191
Hamburger SV,St. Pauli,0,2,0,0 - 2,Finished,Bundesliga,0.35,1.44,48,52,5.0,5.0,4829248
Chelsea,Fulham,2,0,2,2 - 0,Finished,Premier League,2.35,1.02,54,46,4.0,4.0,4813397
Hoffenheim,Eintracht Frankfurt,1,3,0,1 - 3,Finished,Bundesliga,1.37,1.56,58,42,7.0,7.0,4829246
Estrela da Amadora,Alverca,2,2,1,2 - 2,Finished,Ligue 1,2.6,1.08,56,44,743.0,743.0,4844185
FC Porto,Casa Pia AC,4,0,2,4 - 0,Finished,Ligue 1,2.28,0.21,65,35,28.0,28.0,4844184
Arouca,Rio Ave,3,3,1,3 - 3,Finished,Ligue 1,0.65,1.54,56,44,5.0,5.0,4844180
St. Pauli,Borussia Dortmund,3,3,1,3 - 3,Finished,Bundesliga,1.29,1.56,51,49,5.0,5.0,4829227
Benfica,Tondela,3,0,2,3 - 0,Finished,Ligue 1,2.96,0.47,66,34,3.0,3.0,4844182
Mainz 05,1. FC Köln,0,1,0,0 - 1,Finished,Bundesliga,1.52,1.36,51,49,303313290.0,303313290.0,4829224
Arsenal,Leeds United,5,0,2,5 - 0,Finished,Premier League,2.88,0.17,68,32,302649834.0,302649834.0,4813386
Famalicao,Gil Vicente,0,0,1,0 - 0,Finished,Ligue 1,0.51,1.44,45,55,8.0,8.0,4844181
Burnley,Sunderland,2,0,2,2 - 0,Finished,Premier League,1.0,0.77,42,58,6.0,6.0,4813388
Manchester City,Tottenham Hotspur,0,2,0,0 - 2,Finished,Premier League,1.55,1.11,61,39,32.0,32.0,4813392
FC Heidenheim,Wolfsburg,1,3,0,1 - 3,Finished,Bundesliga,0.72,2.45,49,51,5.0,5.0,4829228
AFC Bournemouth,Wolverhampton Wanderers,1,0,2,1 - 0,Finished,Premier League,1.29,0.46,59,41,9.0,9.0,4813385
Eintracht Frankfurt,Werder Bremen,4,1,2,4 - 1,Finished,Bundesliga,2.74,0.53,53,47,6.0,6.0,4829222
Bayer Leverkusen,Hoffenheim,1,2,0,1 - 2,Finished,Bundesliga,0.71,0.45,60,40,6.0,6.0,4829221
Freiburg,Augsburg,1,3,0,1 - 3,Finished,Bundesliga,2.6,1.34,60,40,5.0,5.0,4829223
